"rank","timestamp"
"1078","2019-08-30 08:18:34"
"1077","2019-08-30 08:27:09"
"1076","2019-08-30 08:35:43"
"1075","2019-08-30 08:44:17"
"1074","2019-08-30 08:52:51"
"1073","2019-08-30 09:01:25"
"1072","2019-08-30 09:09:59"
"1071","2019-08-30 09:18:33"
"1070","2019-08-30 09:24:00"
"1069","2019-08-30 09:29:27"
"1068","2019-08-30 09:34:54"
"1067","2019-08-30 09:40:21"
"1066","2019-08-30 09:45:48"
"1065","2019-08-30 09:51:15"
"1064","2019-08-30 09:56:42"
"1063","2019-08-30 10:02:09"
"1062","2019-08-30 10:07:36"
"1061","2019-08-30 10:13:03"
"1060","2019-08-30 10:18:30"
"1059","2019-08-30 10:23:57"
"1058","2019-08-30 10:29:24"
"1057","2019-08-30 10:34:51"
"1056","2019-08-30 10:40:18"
"1055","2019-08-30 10:45:45"
"1054","2019-08-30 10:51:12"
"1053","2019-08-30 10:56:39"
"1052","2019-08-30 11:02:06"
"1051","2019-08-30 11:07:33"
"1050","2019-08-30 11:13:00"
"1049","2019-08-30 11:18:27"
"1048","2019-08-30 11:23:54"
"1047","2019-08-30 11:29:21"
"1046","2019-08-30 11:34:48"
"1045","2019-08-30 11:40:15"
"1044","2019-08-30 11:45:42"
"1043","2019-08-30 11:51:09"
"1042","2019-08-30 11:56:36"
"1041","2019-08-30 12:02:03"
"1040","2019-08-30 12:07:30"
"1039","2019-08-30 12:12:57"
"1038","2019-08-30 12:18:24"
"1037","2019-08-30 12:23:51"
"1036","2019-08-30 12:29:18"
"1035","2019-08-30 12:34:45"
"1034","2019-08-30 12:40:12"
"1033","2019-08-30 12:45:39"
"1032","2019-08-30 12:51:06"
"1031","2019-08-30 12:56:33"
"1030","2019-08-30 13:02:00"
"1029","2019-08-30 13:07:27"
"1028","2019-08-30 13:12:54"
"1027","2019-08-30 13:18:21"
"1026","2019-08-30 13:23:48"
"1025","2019-08-30 13:29:15"
"1024","2019-08-30 13:34:42"
"1023","2019-08-30 13:40:09"
"1022","2019-08-30 13:45:36"
"1021","2019-08-30 13:51:03"
"1020","2019-08-30 13:56:30"
"1019","2019-08-30 14:01:57"
"1018","2019-08-30 14:07:24"
"1017","2019-08-30 14:12:51"
"1016","2019-08-30 14:18:18"
"1015","2019-08-30 14:23:45"
"1014","2019-08-30 14:29:12"
"1013","2019-08-30 14:34:39"
"1012","2019-08-30 14:40:06"
"1011","2019-08-30 14:45:33"
"1010","2019-08-30 14:51:00"
"1009","2019-08-30 14:56:27"
"1008","2019-08-30 15:01:54"
"1007","2019-08-30 15:07:21"
"1006","2019-08-30 15:12:48"
"1005","2019-08-30 15:18:15"
"1004","2019-08-30 15:23:42"
"1003","2019-08-30 15:30:38"
"1002","2019-08-30 15:37:33"
"1001","2019-08-30 15:44:28"
"1000","2019-08-30 15:51:23"
"999","2019-08-30 15:58:18"
"998","2019-08-30 16:05:13"
"997","2019-08-30 16:12:08"
"996","2019-08-30 16:19:03"
"995","2019-08-30 16:25:58"
"994","2019-08-30 16:32:53"
"993","2019-08-30 16:39:48"
"992","2019-08-30 16:46:43"
"991","2019-08-30 16:53:38"
"990","2019-08-30 17:00:33"
"989","2019-08-30 17:07:28"
"988","2019-08-30 17:14:23"
"987","2019-08-30 17:21:18"
"986","2019-08-30 17:28:13"
"985","2019-08-30 17:35:08"
"984","2019-08-30 17:42:03"
"983","2019-08-30 17:48:58"
"982","2019-08-30 17:55:53"
"981","2019-08-30 18:02:48"
"980","2019-08-30 18:09:43"
"979","2019-08-30 18:16:38"
"978","2019-09-02 08:10:00"
"977","2019-09-02 08:20:00"
"976","2019-09-02 08:30:00"
"975","2019-09-02 08:40:00"
"974","2019-09-02 08:50:00"
"973","2019-09-02 09:00:00"
"972","2019-09-02 09:10:00"
"971","2019-09-02 09:15:48"
"970","2019-09-02 09:21:37"
"969","2019-09-02 09:27:25"
"968","2019-09-02 09:33:13"
"967","2019-09-02 09:39:01"
"966","2019-09-02 09:44:49"
"965","2019-09-02 09:50:37"
"964","2019-09-02 09:56:25"
"963","2019-09-02 10:02:13"
"962","2019-09-02 10:08:01"
"961","2019-09-02 10:13:49"
"960","2019-09-02 10:19:37"
"959","2019-09-02 10:25:25"
"958","2019-09-02 10:31:13"
"957","2019-09-02 10:37:01"
"956","2019-09-02 10:42:49"
"955","2019-09-02 10:48:37"
"954","2019-09-02 10:54:25"
"953","2019-09-02 11:00:13"
"952","2019-09-02 11:06:01"
"951","2019-09-02 11:11:49"
"950","2019-09-02 11:17:37"
"949","2019-09-02 11:23:25"
"948","2019-09-02 11:29:13"
"947","2019-09-02 11:35:01"
"946","2019-09-02 11:40:49"
"945","2019-09-02 11:46:37"
"944","2019-09-02 11:52:25"
"943","2019-09-02 11:58:13"
"942","2019-09-02 12:04:01"
"941","2019-09-02 12:09:49"
"940","2019-09-02 12:15:37"
"939","2019-09-02 12:21:25"
"938","2019-09-02 12:27:13"
"937","2019-09-02 12:33:01"
"936","2019-09-02 12:38:49"
"935","2019-09-02 12:44:37"
"934","2019-09-02 12:50:25"
"933","2019-09-02 12:56:13"
"932","2019-09-02 13:02:01"
"931","2019-09-02 13:07:49"
"930","2019-09-02 13:13:37"
"929","2019-09-02 13:19:25"
"928","2019-09-02 13:25:13"
"927","2019-09-02 13:31:01"
"926","2019-09-02 13:36:49"
"925","2019-09-02 13:42:37"
"924","2019-09-02 13:48:25"
"923","2019-09-02 13:54:13"
"922","2019-09-02 14:00:01"
"921","2019-09-02 14:05:49"
"920","2019-09-02 14:11:37"
"919","2019-09-02 14:17:25"
"918","2019-09-02 14:23:13"
"917","2019-09-02 14:29:01"
"916","2019-09-02 14:34:49"
