"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"64","Telegraph Road","","Dire Straits","","","2022-10-24 09:55:20","https://images.mediaworks.nz/radio/song/images/telegraph_road_400_dire_straits.jpg?width=400&height=400&crop=auto"
"65","Hey Jude","","Beatles","","","2022-10-24 09:46:30","https://images.mediaworks.nz/radio/song/images/hey_jude_400_beatles.jpg?width=400&height=400&crop=auto"
"66","Baker Street","","Gerry Rafferty","","","2022-10-24 09:37:40","https://images.mediaworks.nz/radio/song/images/baker_street_400_gerry_rafferty.jpg?width=400&height=400&crop=auto"
"67","Cat People (Putting Out Fire)","","David Bowie","","","2022-10-24 09:28:50","https://images.mediaworks.nz/radio/song/images/cat_people_putting_out_fire__400_david_bowie.jpg?width=400&height=400&crop=auto"
"68","Riders On The Storm","","Doors","","","2022-10-24 09:20:00","https://images.mediaworks.nz/radio/song/images/riders_on_the_storm_400_doors.jpg?width=400&height=400&crop=auto"
"69","(I Can't Get No) Satisfaction","","Rolling Stones","","","2022-10-24 09:11:10","https://images.mediaworks.nz/radio/song/images/_i_can_t_get_no_satisfaction_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"70","Space Oddity","","David Bowie","","","2022-10-24 09:02:20","https://images.mediaworks.nz/radio/song/images/space_oddity_400_david_bowie.jpg?width=400&height=400&crop=auto"
"71","Mother","","Pink Floyd","","","2022-10-24 08:54:30","https://images.mediaworks.nz/radio/song/images/mother_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"72","It's A Long Way To The Top (If You Want To Rock 'n' Roll)","","AC/DC","","","2022-10-24 08:47:40","https://images.mediaworks.nz/radio/song/images/it_s_a_long_way_to_the_top_if_you_want_to_rock_n_roll__400_ac_dc.jpg?width=400&height=400&crop=auto"
"73","All Along The Watchtower","","Jimi Henrix","","","2022-10-24 08:40:50","https://images.mediaworks.nz/thesound/Content/apps/theme/images/thesound_square4x.png?width=400&height=400&crop=auto"
"74","Tunnel Of Love","","Dire Straits","","","2022-10-24 08:34:00","https://images.mediaworks.nz/radio/song/images/tunnel_of_love_400_dire_straits.jpg?width=400&height=400&crop=auto"
"75","Black Dog","","Led Zeppelin","","","2022-10-24 08:27:10","https://images.mediaworks.nz/radio/song/images/black_dog_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"76","We Will Rock You","","Queen","","","2022-10-24 08:20:20","https://images.mediaworks.nz/radio/song/images/we_will_rock_you_400_queen.jpg?width=400&height=400&crop=auto"
"77","Do You Feel Like We Do","","Peter Frampton","","","2022-10-24 08:13:30","https://images.mediaworks.nz/radio/song/images/do_you_feel_like_we_do_400_peter_frampton.jpg?width=400&height=400&crop=auto"
"78","Sirius / Eye In The Sky","","Alan Parsons Project","","","2022-10-24 08:06:40","https://images.mediaworks.nz/radio/song/images/sirius_eye_in_the_sky_400_alan_parsons_project.jpg?width=400&height=400&crop=auto"
"79","Khe Sanh","","Cold Chisel","","","2022-10-24 07:58:50","https://images.mediaworks.nz/radio/song/images/khe_sanh_400_cold_chisel.jpg?width=400&height=400&crop=auto"
"80","Baba O'Reilly","","The Who","","","2022-10-24 07:53:00","https://images.mediaworks.nz/radio/song/images/baba_o_reilly_400_the_who.jpg?width=400&height=400&crop=auto"
"81","Under Pressure","","David Bowie / Queen","","","2022-10-24 07:47:10","https://images.mediaworks.nz/radio/song/images/under_pressure_400_david_bowie_queen.jpg?width=400&height=400&crop=auto"
"82","Wild Horses","","Rolling Stones","","","2022-10-24 07:41:20","https://images.mediaworks.nz/radio/song/images/wild_horses_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"83","Have A Cigar","","Pink Floyd","","","2022-10-24 07:35:30","https://images.mediaworks.nz/radio/song/images/have_a_cigar_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"84","We Are The Champions","","Queen","","","2022-10-24 07:29:40","https://images.mediaworks.nz/radio/song/images/we_are_the_champions_400_queen.jpg?width=400&height=400&crop=auto"
"85","The Happiest Days Of Our Lives / Another Brick In The Wall Pt 2","","Pink Floyd","","","2022-10-24 07:23:50","https://images.mediaworks.nz/radio/song/images/the_happiest_days_of_our_lives_another_brick_in_the_wall_pt_2_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"86","Still Got The Blues","","Gary Moore","","","2022-10-24 07:18:00","https://images.mediaworks.nz/radio/song/images/still_got_the_blues_400_gary_moore.jpg?width=400&height=400&crop=auto"
"87","White Room","","Cream","","","2022-10-24 07:12:10","https://images.mediaworks.nz/radio/song/images/white_room_400_cream.jpg?width=400&height=400&crop=auto"
"88","Skateaway","","Dire Straits","","","2022-10-24 07:06:20","https://images.mediaworks.nz/radio/song/images/skateaway_400_dire_straits.jpg?width=400&height=400&crop=auto"
"89","Let It Be","","Beatles","","","2022-10-24 07:00:30","https://images.mediaworks.nz/radio/song/images/let_it_be_400_beatles.jpg?width=400&height=400&crop=auto"
"90","Life On Mars","","David Bowie","","","2022-10-24 06:55:30","https://images.mediaworks.nz/radio/song/images/life_on_mars_400_david_bowie.jpg?width=400&height=400&crop=auto"
"91","(Don't Fear) The Reaper","","Blue Oyster Cult","","","2022-10-24 06:50:30","https://images.mediaworks.nz/radio/song/images/_don_t_fear_the_reaper_400_blue_oyster_cult.jpg?width=400&height=400&crop=auto"
"92","Never Tear Us Apart","","INXS","","","2022-10-24 06:45:30","https://images.mediaworks.nz/radio/song/images/never_tear_us_apart_400_inxs.jpg?width=400&height=400&crop=auto"
"93","Solsbury Hill","","Peter Gabriel","","","2022-10-24 06:40:30","https://images.mediaworks.nz/radio/song/images/solsbury_hill_400_peter_gabriel.jpg?width=400&height=400&crop=auto"
