name,name,length,played_time
Guns N' Roses,You're Crazy,194,2021-08-31 11:53:02+12
Electric Light Orchestra,Don't Bring Me Down,240,2021-08-31 11:56:21+12
Everlast,Put Your Lights On,283,2021-08-31 12:06:50+12
Pink Floyd,Take It Back,372,2021-08-31 12:11:39+12
Queens Of The Stone Age,My God is the Sun,215,2021-08-31 12:18:01+12
Lynyrd Skynyrd,Saturday Night Special,309,2021-08-31 12:22:33+12
Stone Temple Pilots,Meatplow,217,2021-08-31 12:27:37+12
ZZ Top,Velcro Fly,205,2021-08-31 12:31:15+12
Red Hot Chili Peppers,Knock Me Down,218,2021-08-31 12:35:35+12
Ben Harper,Ground On Down,243,2021-08-31 12:39:12+12
Bruce Springsteen,The Rising,283,2021-08-31 12:48:41+12
The Offspring,I Choose,233,2021-08-31 12:53:27+12
Alice Cooper,I'm Eighteen,174,2021-08-31 13:02:36+12
Chris Cornell,Nothing Compares 2 U,252,2021-08-31 13:05:37+12
Aerosmith,Rag Doll,258,2021-08-31 13:09:48+12
Third Eye Blind,Jumper,243,2021-08-31 13:14:03+12
Crowded House,It's Only Natural,218,2021-08-31 13:19:22+12
Rage Against The Machine,Settle For Nothing,285,2021-08-31 13:23:20+12
R.E.M,The One I Love,192,2021-08-31 13:28:05+12
The Black Keys,Tighten Up,208,2021-08-31 13:31:55+12
U2,Elevation,227,2021-08-31 13:35:31+12
Audioslave,Set It Off,226,2021-08-31 13:39:31+12
Dexy's Midnight Runners,Come On Eileen,241,2021-08-31 13:47:59+12
White Stripes,My Doorbell,236,2021-08-31 13:52:02+12
Don Henley,Dirty Laundry,328,2021-08-31 14:01:02+12
Ugly Kid Joe,Everything About You,254,2021-08-31 14:06:32+12
DD Smash,Devil You Know,211,2021-08-31 14:10:57+12
Wolfmother,Woman,168,2021-08-31 14:14:22+12
Fleetwood Mac,Gypsy,274,2021-08-31 14:17:52+12
Foo Fighters,This Is A Call,226,2021-08-31 14:22:24+12
U2,All I Want Is You,387,2021-08-31 14:26:19+12
Guns N' Roses,Anything Goes,203,2021-08-31 14:31:55+12
Kenny Rogers,The Gambler,211,2021-08-31 14:35:28+12
Kings Of Leon,Supersoaker,226,2021-08-31 14:39:08+12
Jethro Tull,Aqualung,392,2021-08-31 14:48:11+12
The Living End,Wake Up,251,2021-08-31 14:54:50+12
Rolling Stones,Honky Tonk Women,184,2021-08-31 15:05:04+12
The White Stripes,Fell in Love with a Girl,107,2021-08-31 15:08:15+12
Steppenwolf,Born To Be Wild,223,2021-08-31 15:10:10+12
Stereophonics,The Bartender And The Thief,174,2021-08-31 15:15:22+12
Talking Heads,Take Me To The River,299,2021-08-31 15:18:21+12
Fuel,Sunburn,261,2021-08-31 15:23:28+12
Tom Petty,You Wreck Me,202,2021-08-31 15:29:36+12
Rise Against,Help Is On The Way,233,2021-08-31 15:33:02+12
David Bowie,The Jean Genie,245,2021-08-31 15:42:41+12
Kasabian,Club Foot,186,2021-08-31 15:46:55+12
Free,All Right Now,328,2021-08-31 15:50:13+12
ZZ Top,Pincushion,266,2021-08-31 16:04:52+12
Audioslave,Revelations,231,2021-08-31 16:09:16+12
Jimi Hendrix,Red House,220,2021-08-31 16:14:55+12
Blue October,Dirt Room,200,2021-08-31 16:18:45+12
Clash,Train In Vain,190,2021-08-31 16:22:15+12
The Calling,Wherever You Will Go,204,2021-08-31 16:27:42+12
David Bowie,Absolute Beginners,339,2021-08-31 16:31:31+12
Elemeno P,Nirvana,148,2021-08-31 16:43:14+12
AC/DC,Squealer,310,2021-08-31 16:45:50+12
Foo Fighters,Dear Rosemary,266,2021-08-31 16:51:01+12
Crowded House,Mean To Me,186,2021-08-31 17:04:56+12
Beck,Dreams,219,2021-08-31 17:08:07+12
Billy Idol,Sweet Sixteen,254,2021-08-31 17:11:53+12
Megadeth,Train Of Consequences,204,2021-08-31 17:17:43+12
George Thorogood,Get A Haircut,239,2021-08-31 17:21:20+12
Foo Fighters,For All The Cows,206,2021-08-31 17:25:39+12
Alice Cooper,No More Mister Nice Guy,184,2021-08-31 17:30:52+12
Coldplay,Speed Of Sound,284,2021-08-31 17:34:07+12
Bachman-Turner Overdrive,Takin' Care Of Business,289,2021-08-31 17:46:28+12
Puddle Of Mudd,Psycho,209,2021-08-31 17:51:20+12
Metallica,Disposable Heroes,496,2021-08-31 18:05:00+12
Genesis,Land of Confusion,282,2021-08-31 18:13:22+12
The Checks,You And Me,219,2021-08-31 18:18:06+12
Pluto,Dance Stamina,307,2021-08-31 18:22:54+12
Green Day,Know Your Enemy,189,2021-08-31 18:28:04+12
Neil Young,Southern Man,331,2021-08-31 18:31:21+12
