"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"56","Walk On The Wild Side","","Lou Reed","","","2020-10-26 11:42:22","https://cdn.mediaworks.nz/radio/song/images/walk_on_the_wild_side_400_lou_reed.jpg?width=400&height=400&crop=auto"
"57","April Sun In Cuba","","Dragon","","","2020-10-26 11:36:44","https://cdn.mediaworks.nz/radio/song/images/april_sun_in_cuba_400_dragon.jpg?width=400&height=400&crop=auto"
"58","Us And Them","","Pink Floyd","","","2020-10-26 11:31:06","https://cdn.mediaworks.nz/radio/song/images/us_and_them_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"59","Take It To The Limit","","Eagles","","","2020-10-26 11:25:28","https://cdn.mediaworks.nz/radio/song/images/take_it_to_the_limit_400_eagles.jpg?width=400&height=400&crop=auto"
"60","Don't Come Around Here No More","","Tom Petty & the Hear...","","","2020-10-26 11:19:50","https://cdn.mediaworks.nz/radio/song/images/don_t_come_around_here_no_more_400_tom_petty_the_hear_.jpg?width=400&height=400&crop=auto"
"61","The House Of The Rising Sun","","Animals","","","2020-10-26 11:14:12","https://cdn.mediaworks.nz/radio/song/images/the_house_of_the_rising_sun_400_animals.jpg?width=400&height=400&crop=auto"
"62","Walking In Light","","Th' Dudes","","","2020-10-26 11:08:34","https://cdn.mediaworks.nz/radio/song/images/walking_in_light_400_th_dudes.jpg?width=400&height=400&crop=auto"
"63","The Chain","","Fleetwood Mac","","","2020-10-26 11:02:56","https://cdn.mediaworks.nz/radio/song/images/the_chain_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"64","Avalon","","Roxy Music","","","2020-10-26 10:57:18","https://cdn.mediaworks.nz/radio/song/images/avalon_400_roxy_music.jpg?width=400&height=400&crop=auto"
"65","Thunderstruck","","AC/DC","","","2020-10-26 10:51:40","https://cdn.mediaworks.nz/radio/song/images/thunderstruck_400_ac_dc.jpg?width=400&height=400&crop=auto"
"66","Here Comes The Sun","","Beatles","","","2020-10-26 10:46:02","https://cdn.mediaworks.nz/radio/song/images/here_comes_the_sun_400_beatles.jpg?width=400&height=400&crop=auto"
"67","Ziggy Stardust","","David Bowie","","","2020-10-26 10:40:24","https://cdn.mediaworks.nz/radio/song/images/ziggy_stardust_400_david_bowie.jpg?width=400&height=400&crop=auto"
"68","Somebody To Love","","Queen","","","2020-10-26 10:34:46","https://cdn.mediaworks.nz/radio/song/images/somebody_to_love_400_queen.jpg?width=400&height=400&crop=auto"
"69","My Best Friend's Girl","","Cars","","","2020-10-26 10:29:08","https://cdn.mediaworks.nz/radio/song/images/my_best_friend_s_girl_400_cars.jpg?width=400&height=400&crop=auto"
"70","Tunnel Of Love","","Dire Straits","","","2020-10-26 10:23:30","https://cdn.mediaworks.nz/radio/song/images/tunnel_of_love_400_dire_straits.jpg?width=400&height=400&crop=auto"
"71","In The Air Tonight","","Phil Collins","","","2020-10-26 10:17:52","https://cdn.mediaworks.nz/radio/song/images/in_the_air_tonight_400_phil_collins.jpg?width=400&height=400&crop=auto"
"72","Runnin' Down A Dream","","Tom Petty","","","2020-10-26 10:12:14","https://cdn.mediaworks.nz/radio/song/images/runnin_down_a_dream_400_tom_petty.jpg?width=400&height=400&crop=auto"
"73","Riders On The Storm","","Doors","","","2020-10-26 10:06:36","https://cdn.mediaworks.nz/radio/song/images/riders_on_the_storm_400_doors.jpg?width=400&height=400&crop=auto"
"74","Hammer To Fall","","Queen","","","2020-10-26 10:00:58","https://cdn.mediaworks.nz/radio/song/images/hammer_to_fall_400_queen.jpg?width=400&height=400&crop=auto"
